_id,lat,lon,region,name_en,name_ru,official_status
54,55.0288307,82.9226887,,Novosibirsk,Новосибирск,город
26163795,56.0176160,29.9171280,Псковская область,Nevel,Невель,город
26878551,67.1514420,32.4130551,Мурманская область,Kandalaksha,Кандалакша,город
26898767,67.5686260,33.4043920,Мурманская область,Apatity,Апатиты,город
26898768,65.2000960,31.1801720,,Kalevala,Калевала,посёлок городского типа
26898769,67.6151331,33.6637527,Мурманская область,Kirovsk,Кировск,город
26898776,63.8924047,34.2660109,,Nadvoitsy,Надвоицы,посёлок городского типа
26898825,63.7435087,34.3106868,,Segezha,Сегежа,город
26898826,66.8574520,32.3871000,Мурманская область,Zelenoborskij,Зеленоборский,посёлок городского типа
26901966,64.5633850,39.8237690,Архангельская область,Severodvinsk,Северодвинск,город
26903504,61.7900426,34.3900070,,Petrozavodsk,Петрозаводск,город
26921263,62.2092900,34.2681850,,Kondopoga,Кондопога,город
26925161,65.8439560,44.2441410,Архангельская область,Mezen',Мезень,город
26951330,59.2188760,39.8932760,Вологодская область,Vologda,Вологда,город
26952234,61.5091210,38.9407960,Архангельская область,Kargopol',Каргополь,город
26958524,61.0756446,42.0979582,Архангельская область,Vel'sk,Вельск,город
27000366,56.8586750,35.9208284,Тверская область,Tver,Тверь,город
27001056,57.5883648,34.5720732,Тверская область,Vysnij Volocek,Вышний Волочёк,город
27017589,58.5209862,31.2757862,Новгородская область,Veliky Novgorod,Великий Новгород,город
27023177,58.7356990,29.8475013,Ленинградская область,Luga,Луга,город
27024680,59.7222560,30.4157310,Санкт-Петербург,Pushkin,Пушкин,город
27025179,59.5706273,30.1305083,Ленинградская область,Gatchina,Гатчина,город
27025689,57.8173923,28.3343465,,Pskov,Псков,город
27048976,54.7101280,20.5105838,Калининградская область,Kaliningrad,Калининград,город
27048978,54.6437214,19.8941584,Калининградская область,Baltiysk,Балтийск,город
27072632,56.3423610,30.5279220,Псковская область,Velikiye Luki,Великие Луки,город
27072633,54.7814057,32.0461261,Смоленская область,Smolensk,Смоленск,город
27073428,53.2423778,34.3668288,Брянская область,Bryansk,Брянск,город
27081144,56.7116700,28.6568180,Псковская область,Opochka,Опочка,город
27084320,56.2774187,28.4848862,Псковская область,Sebezh,Себеж,город
27090043,51.7394330,36.1796040,Курская область,Kursk,Курск,город
27096008,52.9687747,36.0694937,Орловская область,Oryol,Орёл,город
27119039,50.5955595,36.5873394,Белгородская область,Belgorod,Белгород,город
27212295,45.1907635,33.3679049,,Yevpatoriya,Евпатория,город
27446511,59.6443230,33.5418624,Ленинградская область,Tikhvin,Тихвин,город
